ds,y
12/25/2016,23
1/1/2017,9
1/8/2017,17
1/15/2017,17
1/22/2017,24
1/29/2017,18
2/5/2017,28
2/12/2017,21
2/19/2017,20
2/26/2017,29
3/5/2017,0
3/12/2017,0
3/19/2017,0
3/26/2017,0
4/2/2017,0
4/9/2017,0
4/16/2017,0
4/23/2017,0
4/30/2017,0
5/7/2017,0
5/14/2017,0
5/21/2017,0
5/28/2017,0
6/4/2017,0
6/11/2017,0
6/18/2017,0
6/25/2017,0
7/2/2017,0
7/9/2017,0
7/16/2017,0
7/23/2017,0
7/30/2017,0
8/6/2017,0
8/13/2017,0
8/20/2017,0
8/27/2017,0
9/3/2017,0
9/10/2017,0
9/17/2017,0
9/24/2017,0
10/1/2017,0
10/8/2017,0
10/15/2017,0
10/22/2017,0
10/29/2017,0
11/5/2017,0
11/12/2017,0
11/19/2017,0
11/26/2017,0
12/3/2017,0
12/10/2017,0
12/17/2017,0
12/24/2017,0
12/31/2017,0
1/7/2018,0
1/14/2018,0
1/21/2018,0
1/28/2018,0
2/4/2018,0
2/11/2018,0
2/18/2018,0
2/25/2018,0
3/4/2018,0
3/11/2018,0
3/18/2018,0
3/25/2018,0
4/1/2018,0
4/8/2018,0
4/15/2018,0
4/22/2018,0
4/29/2018,0
5/6/2018,0
5/13/2018,0
5/20/2018,0
5/27/2018,0
6/3/2018,0
6/10/2018,0
6/17/2018,0
6/24/2018,0
7/1/2018,0
7/8/2018,0
7/15/2018,0
7/22/2018,0
7/29/2018,0
8/5/2018,0
8/12/2018,0
8/19/2018,0
8/26/2018,0
9/2/2018,0
9/9/2018,0
9/16/2018,0
9/23/2018,0
9/30/2018,0
10/7/2018,0
10/14/2018,0
10/21/2018,100
10/28/2018,0
11/4/2018,0
11/11/2018,0
11/18/2018,0
11/25/2018,0
12/2/2018,0
12/9/2018,11
12/16/2018,3
12/23/2018,6
12/30/2018,3
1/6/2019,8
1/13/2019,2
1/20/2019,6
1/27/2019,8
2/3/2019,4
2/10/2019,11
2/17/2019,8
2/24/2019,5
3/3/2019,7
3/10/2019,12
3/17/2019,8
3/24/2019,12
3/31/2019,3
4/7/2019,9
4/14/2019,16
4/21/2019,13
4/28/2019,14
5/5/2019,13
5/12/2019,7
5/19/2019,11
5/26/2019,8
6/2/2019,5
6/9/2019,8
6/16/2019,7
6/23/2019,11
6/30/2019,16
7/7/2019,12
7/14/2019,15
7/21/2019,13
7/28/2019,13
8/4/2019,11
8/11/2019,11
8/18/2019,6
8/25/2019,11
9/1/2019,11
9/8/2019,15
9/15/2019,8
9/22/2019,12
9/29/2019,10
10/6/2019,7
10/13/2019,14
10/20/2019,10
10/27/2019,11
11/3/2019,9
11/10/2019,6
11/17/2019,6
11/24/2019,11
12/1/2019,12
12/8/2019,8
12/15/2019,11
12/22/2019,7
12/29/2019,8
1/5/2020,14
1/12/2020,9
1/19/2020,15
1/26/2020,13
2/2/2020,12
2/9/2020,15
2/16/2020,14
2/23/2020,9
3/1/2020,10
3/8/2020,14
3/15/2020,14
3/22/2020,20
3/29/2020,20
4/5/2020,26
4/12/2020,28
4/19/2020,31
4/26/2020,27
5/3/2020,32
5/10/2020,26
5/17/2020,30
5/24/2020,30
5/31/2020,27
6/7/2020,27
6/14/2020,26
6/21/2020,26
6/28/2020,30
7/5/2020,28
7/12/2020,25
7/19/2020,23
7/26/2020,22
8/2/2020,29
8/9/2020,25
8/16/2020,21
8/23/2020,25
8/30/2020,19
9/6/2020,22
9/13/2020,19
9/20/2020,18
9/27/2020,18
10/4/2020,22
10/11/2020,25
10/18/2020,17
10/25/2020,13
11/1/2020,16
11/8/2020,14
11/15/2020,15
11/22/2020,15
11/29/2020,17
12/6/2020,16
12/13/2020,14
12/20/2020,16
12/27/2020,14
1/3/2021,16
1/10/2021,14
1/17/2021,17
1/24/2021,16
1/31/2021,12
2/7/2021,15
2/14/2021,12
2/21/2021,14
2/28/2021,13
3/7/2021,14
3/14/2021,13
3/21/2021,13
3/28/2021,11
4/4/2021,15
4/11/2021,15
4/18/2021,18
4/25/2021,18
5/2/2021,11
5/9/2021,15
5/16/2021,16
5/23/2021,19
5/30/2021,20
6/6/2021,18
6/13/2021,20
6/20/2021,17
6/27/2021,17
7/4/2021,16
7/11/2021,18
7/18/2021,15
7/25/2021,17
8/1/2021,16
8/8/2021,11
8/15/2021,14
8/22/2021,15
8/29/2021,15
9/5/2021,13
9/12/2021,15
9/19/2021,14
9/26/2021,13
10/3/2021,10
10/10/2021,13
10/17/2021,11
10/24/2021,11
10/31/2021,9
11/7/2021,9
11/14/2021,11
11/21/2021,10
11/28/2021,13
12/5/2021,9
12/12/2021,15
12/19/2021,11
